Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Arlon,6700,1,house,house,420000,,3,126,1,40,1,285,485,3,,10609962,as new,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10609962
,Jodoigne,1370,1,house,villa,425000,,4,153,1,20,,,1260,4,,10619405,good,https://www.immoweb.be/en/classified/villa/for-sale/jodoigne/1370/10619405
,Héron,4217,1,house,house,425000,,4,420,1,46,1,1200,1345,4,,10628095,good,https://www.immoweb.be/en/classified/house/for-sale/h%C3%A9ron/4217/10628095
,Grez-Doiceau,1390,1,house,villa,449000,,6,215,1,6,1,632,747,4,,10524318,good,https://www.immoweb.be/en/classified/villa/for-sale/grez-doiceau/1390/10524318
,Laeken,1020,1,house,mixed use building,425000,,2,100,,,,,52,2,,10576931,to be done up,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/laeken/1020/10576931
,Gooik,1755,1,house,house,449000,,3,185,1,,,,2592,4,,10522666,to be done up,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10522666
,Oudenaarde,9700,1,house,house,430000,isUnderOption,5,212,1,,1,138,233,2,,10641558,as new,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/10641558
,Woluwe-Saint-Pierre,1150,1,house,house,450000,isUnderOption,3,110,1,25,,,97,2,,10252335,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10252335
,Wavre,1300,1,house,bungalow,450000,isUnderOption,3,123,1,30,,,1473,4,,10463935,good,https://www.immoweb.be/en/classified/bungalow/for-sale/wavre/1300/10463935
,Mons Ghlin,7011,1,house,villa,440000,,6,259,1,,1,952,1122,4,,10515905,as new,https://www.immoweb.be/en/classified/villa/for-sale/mons%20ghlin/7011/10515905
,Herne,1540,1,house,house,429000,,4,250,1,,1,875,1133,3,,10548259,good,https://www.immoweb.be/en/classified/house/for-sale/herne/1540/10548259
,Kortenberg,3070,1,house,house,449000,,5,208,1,65,1,70,187,3,,10588567,good,https://www.immoweb.be/en/classified/house/for-sale/kortenberg/3070/10588567
,Roosdaal,1760,1,house,mixed use building,460000,,5,377,1,,,,975,3,,10057683,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/roosdaal/1760/10057683
,Woluwe-Saint-Lambert,1200,1,house,mixed use building,460000,isUnderOption,1,160,1,2,,,160,2,,10037638,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-lambert/1200/10037638
,WALSHOUTEM,3401,0,house,villa,439000,,3,157,1,32,,,1796,4,,10565183,good,https://www.immoweb.be/en/classified/villa/for-sale/walshoutem/3401/10565183
,Grez-Doiceau,1390,1,house,house,455000,isUnderOption,3,274,1,,1,2600,3019,4,,10584436,good,https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10584436
,Ottignies-louvain-la-neuve,1348,1,house,house,475000,isUnderOption,3,123,1,32,1,195,253,2,,10570495,good,https://www.immoweb.be/en/classified/house/for-sale/ottignies-louvain-la-neuve/1348/10570495
,Jette,1090,1,house,house,455000,isUnderOption,4,171,,,1,42,112,2,,10623208,good,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/10623208
,Braine-l'Alleud,1420,1,house,town house,485000,,3,175,1,,1,150,310,3,,10634215,good,https://www.immoweb.be/en/classified/town-house/for-sale/braine-l%27alleud/1420/10634215
,Liedekerke,1770,1,house,house,459000,,4,285,1,,1,75,211,2,,10640528,good,https://www.immoweb.be/en/classified/house/for-sale/liedekerke/1770/10640528
,Uccle,1180,1,house,house,450000,isUnderOption,3,140,1,24,1,95,192,2,,10489474,to be done up,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10489474
,Bertem,3060,1,house,town house,484000,isUnderOption,4,214,1,25,1,2000,2890,4,,10586127,good,https://www.immoweb.be/en/classified/town-house/for-sale/bertem/3060/10586127
,Beersel,1650,1,house,house,485000,,5,258,1,,1,200,335,3,,10634724,just renovated,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10634724
,Dworp,1653,1,house,house,485000,,5,258,1,,1,200,335,3,,10634725,just renovated,https://www.immoweb.be/en/classified/house/for-sale/dworp/1653/10634725
,Schaerbeek,1030,1,apartment,apartment,295000,isUnderOption,3,119,1,8,,,,2,,10405141,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10405141
,Woluwe-Saint-Pierre,1150,1,apartment,service flat,295000,isUnderOption,1,70,1,13,,,,2,,10629690,as new,https://www.immoweb.be/en/classified/service-flat/for-sale/woluwe-saint-pierre/1150/10629690
,Schaerbeek,1030,1,apartment,apartment,295000,isUnderOption,2,75,1,10,,,,2,,9355651,as new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/9355651
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,295000,isUnderOption,2,94,1,5,,,,2,,10561388,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10561388
,Nivelles,1400,1,apartment,apartment,295000,,3,103,1,5,,,,2,,10488410,as new,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10488410
,Laeken,1020,1,apartment,apartment,295000,isUnderOption,2,100,1,,1,500,,2,,10422747,good,https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/10422747
,Wavre,1300,1,apartment,apartment,295000,isUnderOption,2,80,1,3,,,,3,,10388693,good,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10388693
,Blankenberge,8370,1,apartment,apartment,295000,,2,107,1,,,,,,,10608255,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10608255
,Nieuwpoort,8620,1,apartment,apartment,295000,,1,50,1,13,,,,2,,10589546,as new,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10589546
,Liege,4000,0,apartment,apartment,295000,,2,153,1,14,,,,3,,10605063,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10605063
,Blégny Saive,4671,0,house,exceptional property,495000,,8,282,1,,,,2200,4,,10256877,to renovate,https://www.immoweb.be/en/classified/exceptional-property/for-sale/bl%C3%A9gny%20saive/4671/10256877
,Molenbeek-Saint-Jean,1080,1,apartment,penthouse,299000,isUnderOption,2,85,1,12,,,,3,,10077863,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/molenbeek-saint-jean/1080/10077863
,Putte,2580,1,house,house,499000,,4,260,1,,1,600,898,4,,10602349,as new,https://www.immoweb.be/en/classified/house/for-sale/putte/2580/10602349
,SINT-PIETERS-LEEUW,1600,1,apartment,apartment,299000,isUnderOption,2,89,1,6,,,,,,10603641,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/10603641
,Tintigny,6730,1,house,house,498000,,4,800,,,1,3367,3787,2,,10621294,just renovated,https://www.immoweb.be/en/classified/house/for-sale/tintigny/6730/10621294
,Lubbeek Linden,3210,1,house,house,495000,isUnderOption,3,208,1,,,,926,3,,10605513,as new,https://www.immoweb.be/en/classified/house/for-sale/lubbeek%20linden/3210/10605513
,Auderghem,1160,1,house,house,500000,isUnderOption,3,136,,,1,55,220,2,,10602085,to renovate,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10602085
,Neder-over-Heembeek,1120,1,apartment,apartment,299000,,2,105,1,3,,,,,,10514159,good,https://www.immoweb.be/en/classified/apartment/for-sale/neder-over-heembeek/1120/10514159
,Bruxelles,1000,1,apartment,penthouse,299000,isUnderOption,2,85,1,12,,,,3,,10084275,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10084275
,Rixensart,1330,1,house,bungalow,495000,,3,160,,,,,872,4,,10540734,good,https://www.immoweb.be/en/classified/bungalow/for-sale/rixensart/1330/10540734
,Anderlecht,1070,1,house,house,510000,,3,221,1,15,1,75,238,3,,10562536,as new,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10562536
,Aarschot,3200,1,house,exceptional property,515000,,5,257,1,,,,520,2,,10557796,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/aarschot/3200/10557796
,Zaventem,1930,1,apartment,apartment,299000,isUnderOption,2,78,1,6,,,,,,10576343,as new,https://www.immoweb.be/en/classified/apartment/for-sale/zaventem/1930/10576343
,Koksijde,8670,1,house,villa,520000,,3,139,1,16,1,500,592,4,,10610445,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/koksijde/8670/10610445
,Halle,1500,1,house,house,549000,,3,230,,,1,806,924,4,,10537542,just renovated,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10537542
,Presles,6250,1,house,villa,540000,,5,285,1,110,1,1370,1700,4,,10581309,good,https://www.immoweb.be/en/classified/villa/for-sale/presles/6250/10581309
,Jette,1090,1,house,house,525000,isUnderOption,4,189,1,15,1,33,120,2,,10411537,just renovated,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/10411537
,Woluwe-Saint-Pierre,1150,0,house,house,550000,isUnderOption,3,145,1,16,,,188,3,,10585339,to renovate,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10585339
,Dilbeek,1700,1,house,villa,559000,,3,182,1,,,,461,4,,10638809,good,https://www.immoweb.be/en/classified/villa/for-sale/dilbeek/1700/10638809
,Beersel,1650,1,house,house,570000,,6,258,1,85,1,762,1152,2,,10621071,good,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10621071
,Schepdaal,1703,1,house,house,579000,,3,192,1,,,,1000,4,,10636413,to be done up,https://www.immoweb.be/en/classified/house/for-sale/schepdaal/1703/10636413
,Temse,9140,1,house,bungalow,549000,,3,212,1,105,1,750,1765,4,,10615433,to be done up,https://www.immoweb.be/en/classified/bungalow/for-sale/temse/9140/10615433
,Steenokkerzeel,1820,1,house,villa,575000,,4,250,1,60,1,600,1097,4,,10605040,good,https://www.immoweb.be/en/classified/villa/for-sale/steenokkerzeel/1820/10605040
,Buizingen,1501,1,house,house,590000,,3,175,1,,,,562,4,,10628953,good,https://www.immoweb.be/en/classified/house/for-sale/buizingen/1501/10628953
,Schaerbeek,1030,1,house,house,595000,,4,175,1,,1,30,1,2,,10638832,as new,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10638832
,Laeken,1020,1,house,house,595000,isUnderOption,4,250,1,15,1,350,459,3,,10392958,to be done up,https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/10392958
,Waterloo,1410,1,house,villa,595000,,3,215,1,,1,1100,1284,4,,10566137,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10566137
,Halle,1500,1,house,house,590000,,3,175,1,,,,562,4,,10628951,good,https://www.immoweb.be/en/classified/house/for-sale/halle/1500/10628951
,Ledeberg,1760,,house,house,569000,,3,160,1,25,1,700,1052,4,,10503562,good,https://www.immoweb.be/en/classified/house/for-sale/ledeberg/1760/10503562
,Grimbergen,1853,1,house,mixed use building,598000,,5,320,1,25,1,78,396,2,,10553570,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/grimbergen/1853/10553570
,Thimister-Clermont,4890,1,house,house,599000,,5,286,1,,1,1334,1334,4,,10563351,good,https://www.immoweb.be/en/classified/house/for-sale/thimister-clermont/4890/10563351
,Beersel,1650,1,house,villa,599000,,3,251,1,,,,1689,4,,9924203,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/beersel/1650/9924203
,Etterbeek,1040,1,house,house,600000,isUnderOption,5,190,1,15,1,50,120,2,,10142944,good,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10142944
,Brussels City,1020,1,house,house,600000,,7,220,1,24,1,37,13,2,,10464091,good,https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1020/10464091
,Vilvoorde,1800,1,house,exceptional property,599000,,3,210,1,25,,,195,2,,10605039,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/vilvoorde/1800/10605039
,Liege,4000,1,apartment,apartment,299000,,2,80,1,,,,,2,,10356184,as new,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/10356184
,Blankenberge,8370,1,apartment,apartment,299900,,2,78,1,,,,,,,10565289,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10565289
,Sint-Agatha-Berchem,1082,1,apartment,apartment,305000,,3,112,1,21,,,,3,,10500643,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-agatha-berchem/1082/10500643
,Bruxelles,1120,1,apartment,apartment,313000,isUnderOption,3,98,1,7,,,,2,,10488262,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1120/10488262
,Middelkerke,8430,1,apartment,apartment,315000,,2,66,,,,,,2,,10358156,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10358156
,Blankenberge,8370,1,apartment,apartment,319000,,2,80,1,,,,,,,10448514,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10448514
,OETINGEN,1755,1,house,house,620000,,3,250,1,,,,3275,4,,10530777,good,https://www.immoweb.be/en/classified/house/for-sale/oetingen/1755/10530777
,KONINGSHOOIKT,2500,1,apartment,apartment,319000,,2,82,1,,,,,3,,10392347,good,https://www.immoweb.be/en/classified/apartment/for-sale/koningshooikt/2500/10392347
,Wezembeek-Oppem,1970,1,house,house,645000,,3,190,1,,1,350,709,4,,10107766,to renovate,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10107766
,Woluwe-Saint-Pierre,1150,1,house,mixed use building,649000,,3,200,1,12,1,50,132,2,,10626063,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/woluwe-saint-pierre/1150/10626063
,Sint-Andries,8200,1,house,house,649000,,3,155,,,,,552,4,,10634210,just renovated,https://www.immoweb.be/en/classified/house/for-sale/sint-andries/8200/10634210
,Anderlecht,1070,0,house,house,645000,isUnderOption,4,320,1,4,,,320,2,,10080317,to renovate,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/10080317
,Bruxelles,1020,1,house,villa,650000,,4,270,1,32,1,300,713,4,,10641068,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/bruxelles/1020/10641068
,Schaerbeek,1030,1,house,house,650000,,5,320,1,20,1,80,150,2,,10625096,as new,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10625096
,Woluwe-Saint-Pierre,1150,1,house,house,660000,,3,175,1,,,,220,3,,10640215,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10640215
,Schaerbeek,1030,1,house,apartment block,650000,,3,320,1,20,1,80,150,2,,10625094,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/10625094
,Woluwe-Saint-Pierre,1150,1,house,house,675000,isUnderOption,4,155,,,1,100,243,3,,10157542,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10157542
,Woluwe-Saint-Pierre,1150,1,house,house,650000,,4,175,1,15,1,60,275,2,,10636459,to be done up,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10636459
,Wavre,1300,1,house,villa,675000,isUnderOption,4,200,1,60,1,650,838,4,,10616420,as new,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10616420
,Woluwe-Saint-Lambert,1200,1,house,house,680000,isUnderOption,4,155,1,7,1,312,411,2,,10373040,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10373040
,Gooik,1755,1,house,house,695000,isUnderOption,4,240,1,,,,1040,4,,10565102,good,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/10565102
,Woluwe-Saint-Pierre,1150,1,house,town house,695000,,4,188,1,18,1,75,161,2,,10581075,good,https://www.immoweb.be/en/classified/town-house/for-sale/woluwe-saint-pierre/1150/10581075
,Beersel,1650,1,house,house,695000,,5,253,,,,,1375,4,,10621070,to be done up,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10621070
,Woluwe-Saint-Lambert,1200,1,house,house,695000,,4,190,1,10,1,150,270,2,,10623312,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10623312
,Schaerbeek,1030,1,house,house,700000,,5,290,,,1,37,118,2,,10616308,as new,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10616308
,Ixelles,1050,1,house,house,760000,isUnderOption,7,400,1,15,1,45,146,2,,10420053,as new,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10420053
,Auderghem,1160,1,house,house,750000,,4,150,1,15,1,150,222,2,,10622452,just renovated,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10622452
,Schaerbeek,1030,0,house,apartment block,750000,isUnderOption,6,513,1,85,1,40,415,3,,10541158,to renovate,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/10541158
,Anderlecht,1070,1,house,apartment block,699000,,5,270,1,,,,490,2,,10558356,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/anderlecht/1070/10558356
,Saint-Gilles,1060,1,house,apartment block,745000,isUnderOption,4,280,,,,,76,2,,10487367,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/10487367
,Auderghem,1160,1,house,house,750000,isUnderOption,3,150,1,,1,100,195,2,,10582330,as new,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10582330
,Anderlecht,1070,1,house,mixed use building,699000,,5,270,1,,,,490,2,,10558354,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/anderlecht/1070/10558354
,Schaerbeek,1030,1,house,apartment block,750000,isUnderOption,7,285,1,15,1,250,280,2,,10436310,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/schaerbeek/1030/10436310
,Ixelles,1050,1,house,apartment block,760000,isUnderOption,7,400,1,15,1,45,146,2,,10420056,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/10420056
,Waterloo,1410,1,house,villa,770000,,3,274,1,62,1,1428,1567,4,,10600667,as new,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10600667
,Kampenhout,1910,1,house,villa,769000,,6,314,1,50,1,2879,3657,4,1,10616646,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/kampenhout/1910/10616646
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,320000,isUnderOption,2,78,1,5,,,,2,,10176794,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10176794
,Uccle,1180,1,apartment,apartment,320000,isUnderOption,2,88,1,8,,,,2,,10577928,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10577928
,Saint-Gilles,1060,0,house,apartment block,795000,isUnderOption,6,450,,,1,12,190,2,,10560893,to renovate,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/10560893
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,325000,isUnderOption,2,95,1,5,,,,2,,10296319,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10296319
,Ixelles,1050,1,apartment,apartment,325000,isUnderOption,2,81,1,3,,,,2,,10383325,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10383325
,Schaerbeek,1030,1,apartment,apartment,325000,isUnderOption,2,88,1,12,,,,2,,10484977,as new,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10484977
,Machelen,1830,1,apartment,apartment,335000,isUnderOption,2,97,1,,,,,3,,10535780,good,https://www.immoweb.be/en/classified/apartment/for-sale/machelen/1830/10535780
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,329000,isUnderOption,2,85,1,4,,,,2,,10441946,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10441946
,Vilvoorde,1800,1,apartment,duplex,335000,,2,143,1,34,,,,2,,10640264,as new,https://www.immoweb.be/en/classified/duplex/for-sale/vilvoorde/1800/10640264
,Woluwe-Saint-Pierre,1150,1,apartment,apartment,329000,,2,95,,,,,,2,,10578166,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10578166
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,339000,isUnderOption,2,94,1,5,,,,2,,10262827,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10262827
,Bruxelles,1000,1,apartment,penthouse,340000,,2,70,1,20,,,,2,,10578260,just renovated,https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/10578260
,Forest,1190,1,apartment,duplex,340000,isUnderOption,3,106,1,14,,,,3,,9524106,as new,https://www.immoweb.be/en/classified/duplex/for-sale/forest/1190/9524106
,Berchem-Sainte-Agathe,1082,1,apartment,apartment,340000,,3,127,1,3,,,,2,,10589880,as new,https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/10589880
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,345000,isUnderOption,2,95,,,,,,2,,9793445,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/9793445
,Sint-Pieters-Leeuw,1600,1,house,villa,795000,,4,299,1,,,,3897,4,,10633045,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/sint-pieters-leeuw/1600/10633045
,Gembloux,5030,1,apartment,apartment,335000,isUnderOption,3,100,1,7,,,,4,,10391849,as new,https://www.immoweb.be/en/classified/apartment/for-sale/gembloux/5030/10391849
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,345000,isUnderOption,3,100,1,14,,,,3,,9301064,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/9301064
,Woluwe-Saint-Pierre,1150,1,house,house,795000,isUnderOption,3,190,1,20,1,145,311,3,,10189628,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10189628
,Woluwe-Saint-Lambert,1200,1,house,house,795000,,3,133,1,15,1,114,500,3,,10633228,good,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10633228
,Woluwe-Saint-Pierre,1150,1,house,house,825000,isUnderOption,4,200,1,20,1,210,605,4,,10265900,to renovate,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10265900
,WAKKEN,8720,1,house,villa,799000,,5,505,1,,,,2023,4,,10632096,as new,https://www.immoweb.be/en/classified/villa/for-sale/wakken/8720/10632096
,Schaerbeek,1030,1,house,mansion,845000,,6,310,1,60,,,132,2,,10531803,as new,https://www.immoweb.be/en/classified/mansion/for-sale/schaerbeek/1030/10531803
,Woluwe-Saint-Pierre,1150,1,house,house,820000,,4,202,1,,,,141,2,,10526420,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10526420
,Zulte,9870,1,house,villa,795000,,4,250,,,,,1275,4,1,10626181,good,https://www.immoweb.be/en/classified/villa/for-sale/zulte/9870/10626181
,Oudenburg,8460,1,house,villa,825000,,4,445,,,1,2202,2442,4,,10528543,as new,https://www.immoweb.be/en/classified/villa/for-sale/oudenburg/8460/10528543
,Woluwe-Saint-Lambert,1200,1,house,town house,825000,isUnderOption,4,253,1,17,1,70,225,2,,10441944,good,https://www.immoweb.be/en/classified/town-house/for-sale/woluwe-saint-lambert/1200/10441944
,Woluwe-Saint-Lambert,1200,1,house,apartment block,795000,,3,133,1,15,1,114,500,3,,10633230,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-lambert/1200/10633230
,SINT-LAMBRECHTS-WOLUWE,1200,1,house,apartment block,945000,,5,468,,,1,53,170,2,,10535086,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/sint-lambrechts-woluwe/1200/10535086
,Etterbeek,1040,1,house,house,845000,isUnderOption,6,252,1,24,1,250,400,4,,10625868,to renovate,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10625868
,Arlon,6700,1,apartment,apartment,345000,isUnderOption,2,99,1,28,,,,3,,10410862,as new,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10410862
,Leuven,3000,1,house,house,940000,,3,173,1,15,1,32,80,2,,10603938,as new,https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/10603938
,Saint-Josse-ten-Noode,1210,1,house,mansion,845000,,6,310,1,60,,,132,2,,10530548,as new,https://www.immoweb.be/en/classified/mansion/for-sale/saint-josse-ten-noode/1210/10530548
,Ternat Sint-Katherina-Lombeek,1742,1,house,country cottage,939000,,5,448,1,,,,3532,4,,10454896,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/ternat%20sint-katherina-lombeek/1742/10454896
,Woluwe-Saint-Lambert,1200,1,house,house,845000,isUnderOption,4,220,1,12,1,117,210,2,,10272645,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/10272645
,SINT-LAMBRECHTS-WOLUWE,1200,1,house,mansion,945000,,5,468,,,1,53,170,2,,10535084,good,https://www.immoweb.be/en/classified/mansion/for-sale/sint-lambrechts-woluwe/1200/10535084
,Liège,4000,,house,apartment block,950000,,6,397,1,,,,138,2,,10587553,as new,https://www.immoweb.be/en/classified/apartment-block/for-sale/li%C3%A8ge/4000/10587553
,Liege,4020,1,house,apartment block,950000,,13,568,,,1,150,310,2,,10348889,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/10348889
,Zaventem,1930,1,house,house,990000,isUnderOption,7,490,1,70,1,800,985,3,,10578736,as new,https://www.immoweb.be/en/classified/house/for-sale/zaventem/1930/10578736
,Zaventem,1930,1,house,mixed use building,990000,isUnderOption,5,490,1,70,1,800,985,3,,10578737,as new,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/zaventem/1930/10578737
,Woluwe-Saint-Pierre,1150,1,house,house,995000,isUnderOption,4,220,1,15,1,145,420,3,,10462599,as new,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10462599
,Watermael-Boitsfort,1170,,house,house,960000,,3,375,1,,1,264,379,2,,10611111,to be done up,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10611111
,Knokke-Heist Knokke,8300,1,house,house,950000,,4,254,1,,,,220,2,,10541573,as new,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist%20knokke/8300/10541573
,Tervuren,3080,1,house,house,990000,,5,295,1,28,,,1257,4,,10582926,to be done up,https://www.immoweb.be/en/classified/house/for-sale/tervuren/3080/10582926
,Oosterzele,9860,1,house,country cottage,1095000,,3,600,1,40,,,1481,4,,10546806,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/oosterzele/9860/10546806
,Antwerp,2000,1,house,house,1099000,,6,383,,,,,303,2,,10393998,good,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/10393998
,Schaerbeek,1030,1,house,exceptional property,1050000,,6,312,1,62,1,45,225,2,,10626061,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/schaerbeek/1030/10626061
,Antwerpen 1,2018,1,house,house,998000,,5,325,1,50,,,150,2,,10499657,as new,https://www.immoweb.be/en/classified/house/for-sale/antwerpen%201/2018/10499657
,Blankenberge,8370,1,apartment,apartment,349000,,2,85,1,,,,,2,,10607074,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10607074
,Dilbeek,1700,1,apartment,apartment,349000,,2,120,1,,,,,,,10474369,as new,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/10474369
,Forest,1190,1,apartment,apartment,348000,isUnderOption,2,95,1,6,,,,2,,10623089,good,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10623089
,Blankenberge,8370,1,apartment,apartment,349000,,2,68,1,,,,,,,10493488,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10493488
